216.62583863, cell no: 116, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.989584121403, psi:366.87686776, cell no: 2989, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.859420590908, psi:650.005892943, cell no: 203, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.811726952713, psi:1042.42853756, cell no: 202, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.0, psi:inf, cell no: 201, and time step: 36
PONDING HAS OCCURRED
5.87962981727e-06 
 Values at failure: , psi:inf  eff_theta:-0.07695 eff_sat:-0.0  K:0.000238  dt:86400.0
FAILURE: Infiltration calc! Rain: 5.87962981727e-06, cell no: 17, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.985678260379, psi:322.537057034, cell no: 2990, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.970646447874, psi:401.014609017, cell no: 3249, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:323.207489, cell no: 809, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.0, psi:inf, cell no: 808, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.957675963078, psi:437.315879951, cell no: 1475, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:299.478149, cell no: 3248, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.979021990839, psi:329.015532737, cell no: 2101, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.980357212163, psi:374.187291219, cell no: 705, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.953546652823, psi:459.193420332, cell no: 704, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.974459564835, psi:391.233326892, cell no: 1250, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.946405728126, psi:485.39738735, cell no: 810, and time step: 36
PONDING HAS OCCURRED
5.87962981727e-06 
 Values at failure: , psi:inf  eff_theta:-0.07695 eff_sat:-0.0  K:0.000238  dt:86400.0
FAILURE: Infiltration calc! Rain: 5.87962981727e-06, cell no: 262, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:261.100006, cell no: 2100, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:67.787498, cell no: 3153, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.86831532021, psi:596.930856816, cell no: 916, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.963212790255, psi:392.932441598, cell no: 2005, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.0, psi:inf, cell no: 32, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.967559450974, psi:374.105249258, cell no: 1906, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.836804712454, psi:810.455396196, cell no: 18, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.934904234781, psi:531.253511878, cell no: 1025, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:261.100006, cell no: 1807, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.881069820085, psi:529.095343307, cell no: 7, and time step: 36
PONDING HAS OCCURRED
5.87962981727e-06 
 Values at failure: , psi:inf  eff_theta:-0.07695 eff_sat:-0.0  K:0.000238  dt:86400.0
FAILURE: Infiltration calc! Rain: 5.87962981727e-06, cell no: 6, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.982208219459, psi:345.525396709, cell no: 1704, and time step: 36
